zip3,census_region
430,Midwest
431,Midwest
432,Midwest
433,Midwest
434,Midwest
435,Midwest
436,Midwest
437,Midwest
438,Midwest
439,Midwest
440,Midwest
441,Midwest
442,Midwest
443,Midwest
444,Midwest
445,Midwest
446,Midwest
447,Midwest
448,Midwest
449,Midwest
450,Midwest
451,Midwest
452,Midwest
453,Midwest
454,Midwest
455,Midwest
456,Midwest
457,Midwest
458,Midwest
459,Midwest
460,Midwest
461,Midwest
462,Midwest
463,Midwest
464,Midwest
465,Midwest
466,Midwest
467,Midwest
468,Midwest
469,Midwest
470,Midwest
471,Midwest
472,Midwest
473,Midwest
474,Midwest
475,Midwest
476,Midwest
477,Midwest
478,Midwest
479,Midwest
480,Midwest
481,Midwest
482,Midwest
483,Midwest
484,Midwest
485,Midwest
486,Midwest
487,Midwest
488,Midwest
489,Midwest
490,Midwest
491,Midwest
492,Midwest
493,Midwest
494,Midwest
495,Midwest
496,Midwest
497,Midwest
498,Midwest
499,Midwest
500,Midwest
501,Midwest
502,Midwest
503,Midwest
504,Midwest
505,Midwest
506,Midwest
507,Midwest
508,Midwest
509,Midwest
510,Midwest
511,Midwest
512,Midwest
513,Midwest
514,Midwest
515,Midwest
516,Midwest
520,Midwest
521,Midwest
522,Midwest
523,Midwest
524,Midwest
525,Midwest
526,Midwest
527,Midwest
528,Midwest
530,Midwest
531,Midwest
532,Midwest
534,Midwest
535,Midwest
537,Midwest
538,Midwest
539,Midwest
540,Midwest
541,Midwest
542,Midwest
543,Midwest
544,Midwest
545,Midwest
546,Midwest
547,Midwest
548,Midwest
549,Midwest
550,Midwest
551,Midwest
553,Midwest
554,Midwest
555,Midwest
556,Midwest
557,Midwest
558,Midwest
559,Midwest
560,Midwest
561,Midwest
562,Midwest
563,Midwest
564,Midwest
565,Midwest
566,Midwest
567,Midwest
570,Midwest
571,Midwest
572,Midwest
573,Midwest
574,Midwest
575,Midwest
576,Midwest
577,Midwest
580,Midwest
581,Midwest
582,Midwest
583,Midwest
584,Midwest
585,Midwest
586,Midwest
587,Midwest
588,Midwest
600,Midwest
601,Midwest
602,Midwest
603,Midwest
604,Midwest
605,Midwest
606,Midwest
607,Midwest
608,Midwest
609,Midwest
610,Midwest
611,Midwest
612,Midwest
613,Midwest
614,Midwest
615,Midwest
616,Midwest
617,Midwest
618,Midwest
619,Midwest
620,Midwest
622,Midwest
623,Midwest
624,Midwest
625,Midwest
626,Midwest
627,Midwest
628,Midwest
629,Midwest
630,Midwest
631,Midwest
633,Midwest
634,Midwest
635,Midwest
636,Midwest
637,Midwest
638,Midwest
639,Midwest
640,Midwest
641,Midwest
644,Midwest
645,Midwest
646,Midwest
647,Midwest
648,Midwest
649,Midwest
650,Midwest
651,Midwest
652,Midwest
653,Midwest
654,Midwest
655,Midwest
656,Midwest
657,Midwest
658,Midwest
660,Midwest
661,Midwest
662,Midwest
664,Midwest
665,Midwest
666,Midwest
667,Midwest
668,Midwest
669,Midwest
670,Midwest
671,Midwest
672,Midwest
673,Midwest
674,Midwest
675,Midwest
676,Midwest
677,Midwest
678,Midwest
679,Midwest
680,Midwest
681,Midwest
683,Midwest
684,Midwest
685,Midwest
686,Midwest
687,Midwest
688,Midwest
689,Midwest
690,Midwest
691,Midwest
692,Midwest
693,Midwest
726,Midwest
005,Northeast
010,Northeast
011,Northeast
012,Northeast
013,Northeast
014,Northeast
015,Northeast
016,Northeast
017,Northeast
018,Northeast
019,Northeast
020,Northeast
021,Northeast
022,Northeast
023,Northeast
024,Northeast
025,Northeast
026,Northeast
027,Northeast
028,Northeast
029,Northeast
030,Northeast
031,Northeast
032,Northeast
033,Northeast
034,Northeast
035,Northeast
036,Northeast
037,Northeast
038,Northeast
039,Northeast
040,Northeast
041,Northeast
042,Northeast
043,Northeast
044,Northeast
045,Northeast
046,Northeast
047,Northeast
048,Northeast
049,Northeast
050,Northeast
051,Northeast
052,Northeast
053,Northeast
054,Northeast
055,Northeast
056,Northeast
057,Northeast
058,Northeast
059,Northeast
060,Northeast
061,Northeast
062,Northeast
063,Northeast
064,Northeast
065,Northeast
066,Northeast
067,Northeast
068,Northeast
069,Northeast
070,Northeast
071,Northeast
072,Northeast
073,Northeast
074,Northeast
075,Northeast
076,Northeast
077,Northeast
078,Northeast
079,Northeast
080,Northeast
081,Northeast
082,Northeast
083,Northeast
084,Northeast
085,Northeast
086,Northeast
087,Northeast
088,Northeast
089,Northeast
100,Northeast
101,Northeast
102,Northeast
103,Northeast
104,Northeast
105,Northeast
106,Northeast
107,Northeast
108,Northeast
109,Northeast
110,Northeast
111,Northeast
112,Northeast
113,Northeast
114,Northeast
115,Northeast
116,Northeast
117,Northeast
118,Northeast
119,Northeast
120,Northeast
121,Northeast
122,Northeast
123,Northeast
124,Northeast
125,Northeast
126,Northeast
127,Northeast
128,Northeast
129,Northeast
130,Northeast
